,date,globalTotal
141,6/11/20,"141    7523365
dtype: int64"
142,6/12/20,"142    7652299
dtype: int64"
143,6/13/20,"143    7787820
dtype: int64"
144,6/14/20,"144    7920905
dtype: int64"
145,6/15/20,"145    8040610
dtype: int64"
146,6/16/20,"146    8182435
dtype: int64"
147,6/17/20,"147    8324640
dtype: int64"
148,6/18/20,"148    8464650
dtype: int64"
149,6/19/20,"149    8644671
dtype: int64"
150,6/20/20,"150    8802303
dtype: int64"
151,6/21/20,"151    8930939
dtype: int64"
152,6/22/20,"152    9069007
dtype: int64"
153,6/23/20,"153    9233766
dtype: int64"
154,6/24/20,"154    9405255
dtype: int64"
155,6/25/20,"155    9582940
dtype: int64"
156,6/26/20,"156    9774286
dtype: int64"
157,6/27/20,"157    9952987
dtype: int64"
158,6/28/20,"158    10114982
dtype: int64"
159,6/29/20,"159    10271437
dtype: int64"
160,6/30/20,"160    10445390
dtype: int64"
161,7/1/20,"161    10662454
dtype: int64"
162,7/2/20,"162    10869980
dtype: int64"
163,7/3/20,"163    11073285
dtype: int64"
164,7/4/20,"164    11267193
dtype: int64"
165,7/5/20,"165    11450068
dtype: int64"
166,7/6/20,"166    11616107
dtype: int64"
167,7/7/20,"167    11826998
dtype: int64"
168,7/8/20,"168    12038790
dtype: int64"
169,7/9/20,"169    12266857
dtype: int64"
170,7/10/20,"170    12499279
dtype: int64"
171,7/11/20,"171    12715556
dtype: int64"
172,7/12/20,"172    12908220
dtype: int64"
173,7/13/20,"173    13100342
dtype: int64"
174,7/14/20,"174    13322055
dtype: int64"
175,7/15/20,"175    13553083
dtype: int64"
176,7/16/20,"176    13805656
dtype: int64"
177,7/17/20,"177    14047405
dtype: int64"
178,7/18/20,"178    14285016
dtype: int64"
179,7/19/20,"179    14499571
dtype: int64"
180,7/20/20,"180    14705751
dtype: int64"
181,7/21/20,"181    14939529
dtype: int64"
182,7/22/20,"182    15219970
dtype: int64"
183,7/23/20,"183    15502662
dtype: int64"
184,7/24/20,"184    15783799
dtype: int64"
185,7/25/20,"185    16039383
dtype: int64"
186,7/26/20,"186    16252479
dtype: int64"
187,7/27/20,"187    16478702
dtype: int64"
188,7/28/20,"188    16731323
dtype: int64"
189,7/29/20,"189    17020334
dtype: int64"
190,7/30/20,"190    17300908
dtype: int64"
191,7/31/20,"191    17590783
dtype: int64"
192,8/1/20,"192    17841522
dtype: int64"
193,8/2/20,"193    18070369
dtype: int64"
194,8/3/20,"194    18272611
dtype: int64"
195,8/4/20,"195    18531135
dtype: int64"
196,8/5/20,"196    18802272
dtype: int64"
197,8/6/20,"197    19087570
dtype: int64"
198,8/7/20,"198    19368389
dtype: int64"
199,8/8/20,"199    19627881
dtype: int64"
200,8/9/20,"200    19851904
dtype: int64"
201,8/10/20,"201    20079497
dtype: int64"
202,8/11/20,"202    20334239
dtype: int64"
203,8/12/20,"203    20611326
dtype: int64"
204,8/13/20,"204    20897221
dtype: int64"
205,8/14/20,"205    21201628
dtype: int64"
206,8/15/20,"206    21449685
dtype: int64"
207,8/16/20,"207    21661962
dtype: int64"
208,8/17/20,"208    21871191
dtype: int64"
209,8/18/20,"209    22127574
dtype: int64"
210,8/19/20,"210    22401098
dtype: int64"
211,8/20/20,"211    22668263
dtype: int64"
212,8/21/20,"212    22938796
dtype: int64"
213,8/22/20,"213    23204330
dtype: int64"
214,8/23/20,"214    23410383
dtype: int64"
215,8/24/20,"215    23636482
dtype: int64"
216,8/25/20,"216    23878519
dtype: int64"
217,8/26/20,"217    24166445
dtype: int64"
218,8/27/20,"218    24445652
dtype: int64"
219,8/28/20,"219    24727072
dtype: int64"
220,8/29/20,"220    24988837
dtype: int64"
221,8/30/20,"221    25215048
dtype: int64"
222,8/31/20,"222    25477252
dtype: int64"
223,9/1/20,"223    25742176
dtype: int64"
224,9/2/20,"224    26024054
dtype: int64"
225,9/3/20,"225    26304856
dtype: int64"
226,9/4/20,"226    26617971
dtype: int64"
227,9/5/20,"227    26881547
dtype: int64"
228,9/6/20,"228    27103845
dtype: int64"
229,9/7/20,"229    27337760
dtype: int64"
230,9/8/20,"230    27570742
dtype: int64"
231,9/9/20,"231    27862680
dtype: int64"
232,9/10/20,"232    28161434
dtype: int64"
233,9/11/20,"233    28481322
dtype: int64"
234,9/12/20,"234    28758945
dtype: int64"
235,9/13/20,"235    28995373
dtype: int64"
236,9/14/20,"236    29274650
dtype: int64"
237,9/15/20,"237    29557942
dtype: int64"
238,9/16/20,"238    29861949
dtype: int64"
239,9/17/20,"239    30175313
dtype: int64"
240,9/18/20,"240    30499534
dtype: int64"
241,9/19/20,"241    30780755
dtype: int64"
242,9/20/20,"242    31021972
dtype: int64"
243,9/21/20,"243    31320880
dtype: int64"
244,9/22/20,"244    31517087
dtype: int64"
245,9/23/20,"245    31779835
dtype: int64"
246,9/24/20,"246    32141225
dtype: int64"
